Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Inside NU,@insidenu,2023-10-30T17:06:32.000Z,False,"Braun on playing at Wrigley Field: ""I know that I've had a lot of these moments in the last year, but it's another pinch yourself moment.""

Said that the first baseball game he went to was at the Friendly Confines.

""What a unique, special experience.""",0,1,6,1.4K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1719038087743877135,tweet_id:1719038087743877135
Inside NU,@insidenu,2023-08-23T19:04:17.000Z,False,"“For the first time in a long time, there are thoughts of a Northwestern baseball future that, instead of referencing its demise, are about players thriving within the program because of Greenspan at the helm.” writes ",0,4,20,3.2K,[],['@sophia_vlahakis'],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1694425343275262446,tweet_id:1694425343275262446
Inside NU,@insidenu,2023-08-18T21:45:47.000Z,False,"BREAKING: After placing Jim Foster on indefinite suspension in mid-July, Northwestern baseball has hired Ben Greenspan as its next head coach.

Greenspan was previously the associate head coach and recruiting coordinator at Michigan.",2,4,32,10K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1692654048309035336,tweet_id:1692654048309035336
Inside NU,@insidenu,2023-08-11T15:02:08.000Z,False,"According to multiple sources that Inside NU spoke to, including current and former players, Northwestern baseball has decided not to hire Brian Anderson as head coach.

Players were left to share news among themselves — and don’t trust the hiring process.",14,24,55,35K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1690015750474379265,tweet_id:1690015750474379265
Inside NU,@insidenu,2023-08-23T19:04:17.000Z,False,"“For the first time in a long time, there are thoughts of a Northwestern baseball future that, instead of referencing its demise, are about players thriving within the program because of Greenspan at the helm.” writes ",0,4,20,3.2K,[],['@sophia_vlahakis'],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1694425343275262446,tweet_id:1694425343275262446
Inside NU,@insidenu,2023-07-19T15:56:38.000Z,False,Crump says he has retained former Northwestern baseball and softball players.,1,0,9,4.5K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1681694544180531201,tweet_id:1681694544180531201
Inside NU,@insidenu,2023-08-18T21:45:47.000Z,False,"BREAKING: After placing Jim Foster on indefinite suspension in mid-July, Northwestern baseball has hired Ben Greenspan as its next head coach.

Greenspan was previously the associate head coach and recruiting coordinator at Michigan.",2,4,32,10K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1692654048309035336,tweet_id:1692654048309035336
Inside NU,@insidenu,2023-07-19T15:44:51.000Z,False,"Crump said that football, baseball and softball are the three known Northwestern programs involved with his pending lawsuit regarding hazing at the moment.",0,2,3,5.9K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1681691579826974721,tweet_id:1681691579826974721
Inside NU,@insidenu,2023-07-19T14:06:42.000Z,False,"Patrick Salvi Jr. says that the abuse and toxic behavior at Northwestern ""goes well beyond the football program.""

Mentioned baseball, softball, volleyball and cheerleading as other sports where he has heard of other hazing incidents.",8,9,38,29K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1681666880656818176,tweet_id:1681666880656818176
Inside NU,@insidenu,2023-07-13T22:50:20.000Z,False,"BREAKING: Northwestern announced in a meeting with team members that it has fired head baseball coach Jim Foster, a current player told .",13,51,126,61K,[],['@idowling11'],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1679624328818618368,tweet_id:1679624328818618368
Inside NU,@insidenu,2023-07-11T13:01:26.000Z,False,"Northwestern baseball coach Jim Foster created a toxic workplace environment that was so bad, it caused half of the team to end up in therapy.

Our  spoke with athletes, staffers, managers and more who shared their nightmarish year under Foster:",28,154,305,188K,[],['@gjdorsey7'],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1678751352212602882,tweet_id:1678751352212602882
Inside NU,@insidenu,2023-07-10T21:18:23.000Z,False,"In a Northwestern baseball recruiting meeting, Jim Foster said he would not be recruiting a certain Black high school player if he was white, Foster also “blew off mandatory diversity training” for the team.

Per , confirmed to Inside NU by an independent source.",1,13,35,30K,[],['@670TheScore'],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1678514023006863365,tweet_id:1678514023006863365
Inside NU,@insidenu,2023-07-10T19:59:27.000Z,False,"A report from 670 The Score reveals that Northwestern baseball head coach Jim Foster created an unwelcome environment for players, spurring transfers.

Also, university investigation into Foster’s behavior supposedly did not speak to players.",12,83,98,105K,[],[],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1678494162797097006,tweet_id:1678494162797097006
Inside NU,@insidenu,2023-07-10T19:24:34.000Z,False,"BREAKING:  has reported that Northwestern baseball head coach Jim Foster has created a ""toxic environment in the program"" and ""broken the spirit of this team.""

The report also said Foster ""made inappropriate comments about a female staff member.""",87,421,576,1M,[],['@670TheScore'],[],https://pbs.twimg.com/profile_images/867121551665225728/Eo23-Nxa_x96.jpg,https://twitter.com/insidenu/status/1678485383871356928,tweet_id:1678485383871356928
