Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Bradley Locker,@Bradley_Locker,2023-12-23T19:33:20.000Z,False,"Northwestern football has lost five straight games broadcast on ABC/an ESPN network.

The last Wildcat win on such a channel? The 2021 Citrus Bowl.

Big opportunity for things to come full circle in front of a national audience in a primetime slot today.",0,2,23,1.5K,[],[],[],https://pbs.twimg.com/profile_images/1589105695521226754/QhFjYkgM_x96.jpg,https://twitter.com/Bradley_Locker/status/1738643975576416469,tweet_id:1738643975576416469
NUMBSpiritLeader,@nuspiritleader,2023-11-18T17:42:51.000Z,False,"After a review, it is PU 3rd&inches at the #Northwestern 13.5...need a stop here...STOPPED! 4th down and 2 to go...PU going for it...STONED!!!! #WILDCAT FOOTBALL!",0,0,1,28,"['#Northwestern', '#WILDCAT']",[],[],https://pbs.twimg.com/profile_images/601582342/091230bjmHeadshot3smallIcon_x96.jpg,https://twitter.com/nuspiritleader/status/1725932592896033159,tweet_id:1725932592896033159
Tim lawrence,@tlarry72,2023-11-11T11:19:06.000Z,False,"Oh , the irony of how two schools treat their Head Football Coach. One defends him to the end although guilty, and one fires him after a six month investigation finding him innocent. And no one on the inside dares to take a stand. I’m ashamed to be a Northwestern Wildcat.",0,0,1,39,[],[],[],https://pbs.twimg.com/profile_images/1600306824892145664/-wZfSC22_x96.jpg,https://twitter.com/tlarry72/status/1723299304515797319,tweet_id:1723299304515797319
Chicago Sun-Times,@Suntimes,2023-11-04T00:38:02.000Z,False,"Former Northwestern football captains shared experiences of racism and being forced to conform to the ""Wildcat Way,"" which they say was “coded white culture.”",11,20,14,13K,[],[],[],https://pbs.twimg.com/profile_images/985223834243493888/Hjb8ei6L_x96.jpg,https://twitter.com/Suntimes/status/1720601262322753870,tweet_id:1720601262322753870
Sun-Times Sports,@suntimes_sports,2023-11-03T21:00:48.000Z,False,"Two former Northwestern football captains talked about their experiences of racial discrimination within the program and being forced as young Black men to conform to the “Wildcat Way,” which they say was “coded white culture.”",0,0,3,1K,[],[],[],https://pbs.twimg.com/profile_images/978867358696726529/ZOciLJoA_x96.jpg,https://twitter.com/suntimes_sports/status/1720546590396407870,tweet_id:1720546590396407870
ESPN Tri-Cities,@ESPN_TriCities,2023-10-19T14:35:30.000Z,False,Thursday on the 'Doug and Daddy Show' a preview of Northwestern with Louie Vaccher of Wildcat Report  Tri-City Storm head coach Anthony Noreen  and Joe Bartel  of Rotowire answers your fantasy football questions. Join us at 11!,0,0,3,618,[],"['@WildcatReport', '@TriCityStorm', '@JBFantasySports']",[],https://pbs.twimg.com/profile_images/1499818440164450309/kGroPulG_x96.jpg,https://twitter.com/ESPN_TriCities/status/1715013811260776483,tweet_id:1715013811260776483
"Jeff Kuhn, MBA",@jmkuhn99,2023-09-23T21:30:02.000Z,False,"Hire  now as Wildcat Football Head Coach. He's the younger brother of  Head Coach, .#GoCats #Northwestern #Football #CollegeFootball #Chicago #FightOn #CollegeGameDay",0,1,1,125,"['#GoCats', '#Northwestern', '#Football', '#CollegeFootball', '#Chicago', '#FightOn', '#CollegeGameDay']","['@CoachGRiley', '@uscfb', '@LincolnRiley']",[],https://pbs.twimg.com/profile_images/1612242649452515330/PvhmpWK1_x96.jpg,https://twitter.com/jmkuhn99/status/1705696045068632130,tweet_id:1705696045068632130
pikrallidasc,@pikrallidasc,2023-09-16T02:19:37.000Z,False,"How are Arizona, Kansas State, Kentucky, and Northwestern doing so far this year in football?

It is realized that wildcat is not Wildcat.",0,0,0,84,[],[],[],https://pbs.twimg.com/profile_images/566223009556348928/K2zlx1GP_x96.jpeg,https://twitter.com/pikrallidasc/status/1702869820012663272,tweet_id:1702869820012663272
Gavin Williams,@GavWill13,2023-09-15T12:26:43.000Z,False,"I will be on the broadcast of the Upper St. Clair Panthers football game against Fox Chapel this evening at 7:00.   Joining me will be Class of 2012 USCHS graduate and former Panther and Northwestern Wildcat standout, Jack Schwaba.  Go Panthers!",0,1,23,1.8K,[],[],[],https://pbs.twimg.com/profile_images/1683157857661775872/P2lJy3VL_x96.jpg,https://twitter.com/GavWill13/status/1702660213998780566,tweet_id:1702660213998780566
Dr. Oscar Johnson,@DrOscarJ,2023-09-02T14:21:36.000Z,False,Today Ryan Hilinski will be running out as the quarterback for the wildcats. Against all the controversy in the program he will exceed and show the world what Northwestern Wildcat football is all about. I’m not sure who Jacob Milroe or Tyrone Simpson is Doctor?,0,0,1,234,[],[],[],https://pbs.twimg.com/profile_images/1689118578518233089/vg_KEWCw_x96.jpg,https://twitter.com/DrOscarJ/status/1697978082441752914,tweet_id:1697978082441752914
Wildcats Radio 1290,@Wildcats1290,2023-08-17T02:11:45.000Z,False,"WILDCAT BREAKDOWN: New  columnist  joined #DKontheSportsTip to discuss:

His new role at #ArizonaDailyStar#ArizonaWildcats #FallCamp#ConferenceRealignmentAnd issues with football program at his alma mater #Northwestern.#CFB",0,1,3,912,"['#DKontheSportsTip', '#ArizonaDailyStar', '#ArizonaWildcats', '#FallCamp', '#ConferenceRealignment', '#Northwestern', '#CFB']","['@TucsonStar', '@MichaelJLev']",[],https://pbs.twimg.com/profile_images/1453488578994921475/uWvdOkO0_x96.jpg,https://twitter.com/Wildcats1290/status/1691996204924862696,tweet_id:1691996204924862696
Take It To-Go Podcast,@TakeItToGoPod,2023-08-13T20:24:34.000Z,False,Hey Tom! We're two former NUFB student staffers who recorded a podcast about our time inside Northwestern's football program. We have an opinion on this very topic. Hope it's informative for you and other Wildcat fans!,1,0,2,82,[],[],[],https://pbs.twimg.com/profile_images/1687124477631406081/3f_HA2jZ_x96.jpg,https://twitter.com/TakeItToGoPod/status/1690821668103499779,tweet_id:1690821668103499779
Take It To-Go Podcast,@TakeItToGoPod,2023-08-13T20:21:41.000Z,False,We're two former NUFB student staffers who recorded a podcast about our time inside the Northwestern football program. We speak candidly about everything from the hazing allegations to the tee shirts. Hope it's informative for you and other Wildcat fans!,0,0,1,22,[],[],[],https://pbs.twimg.com/profile_images/1687124477631406081/3f_HA2jZ_x96.jpg,https://twitter.com/TakeItToGoPod/status/1690820943168311299,tweet_id:1690820943168311299
Take It To-Go Podcast,@TakeItToGoPod,2023-08-13T20:19:54.000Z,False,"Hey Austin, we're two former NUFB student staffers who recorded a podcast about our time inside the Northwestern football program. We speak rather candidly. Hope it's informative for you and other Wildcat fans!",0,0,0,30,[],[],[],https://pbs.twimg.com/profile_images/1687124477631406081/3f_HA2jZ_x96.jpg,https://twitter.com/TakeItToGoPod/status/1690820496126803968,tweet_id:1690820496126803968
Frank Grizzly,@FrankGrizzly,2023-08-10T15:50:57.000Z,True,"Justin Jackson is a product of Glenbard North, and a Northwestern Wildcat alum.

Should be great to see where the former first-team All-Big Ten RB takes his talents next, away from the game of football.",1,0,3,342,[],[],[],https://pbs.twimg.com/profile_images/1727513302173913088/Lsfs6bip_x96.jpg,https://twitter.com/FrankGrizzly/status/1689665647649644544,tweet_id:1689665647649644544
secular,@secular85552725,2023-07-21T19:48:57.000Z,False,But what about Northwestern Wildcat football this season?,0,0,0,57,[],[],[],https://abs.twimg.com/sticky/default_profile_images/default_profile_x96.png,https://twitter.com/secular85552725/status/1682477784654835714,tweet_id:1682477784654835714
College Football On ClutchPoints,@ClutchPointsCFB,2023-07-21T03:28:01.000Z,False,Former Wildcat AD reacts to being tied into hazing allegations within the Northwestern football program.,0,0,0,123,[],[],[],https://pbs.twimg.com/profile_images/1322301345408274432/Io9z6phh_x96.jpg,https://twitter.com/ClutchPointsCFB/status/1682230924719853570,tweet_id:1682230924719853570
Dennis,@dtt44wi,2023-07-20T23:17:24.000Z,False,That’s the big announcement?  I was hoping the Score was the new home of Northwestern Wildcat Football….Go Cats.,0,0,0,529,[],[],[],https://pbs.twimg.com/profile_images/923730266438426625/RFdzODsb_x96.jpg,https://twitter.com/dtt44wi/status/1682167855016554499,tweet_id:1682167855016554499
Outside the Lines,@OTLonESPN,2023-07-19T20:23:03.000Z,True,"Two former Northwestern athletes are suing the university, saying its leadership was negligent in allowing hazing within the Wildcat football program.

Patrick Salvi — an attorney in the players' civil lawsuit — explains the grounds for a potential criminal investigation.",0,3,6,2.8K,[],[],[],https://pbs.twimg.com/profile_images/862345631175782401/PRKlCshL_x96.jpg,https://twitter.com/OTLonESPN/status/1681761590364762112,tweet_id:1681761590364762112
Donald R. Koelper,@Donald_from_HI,2023-07-12T05:15:50.000Z,False,"Northwestern head football coach Pat Fitzgerald, who's run the Wildcat program for 17 seasons, was fired last night by university President Michael Schill after credible allegations of team hazing were raised two weeks ago by the school's newspaper.",0,0,0,163,[],[],[],https://pbs.twimg.com/profile_images/1540921154021367809/MG-TE0an_x96.jpg,https://twitter.com/Donald_from_HI/status/1678996565640511488,tweet_id:1678996565640511488
CHGO Bears,@CHGO_Bears,2023-07-11T16:27:17.000Z,True,"Coming up at 12pm central:

We'll talk with former Northwestern Wildcat, Corey Wootton, about the fallout from the football program and the firing of Pat Fitzgerald.",0,4,11,4.3K,[],[],[],https://pbs.twimg.com/profile_images/1599487423582535680/7o1AkZrf_x96.jpg,https://twitter.com/CHGO_Bears/status/1678803153758584834,tweet_id:1678803153758584834
Bruce Feldman,@BruceFeldmanCFB,2023-07-11T13:08:10.000Z,False,"With Pat Fitzgerald fired, Northwestern will hire a new football coach later this year. There's a dream candidate out there with deep Wildcat ties but we doubt that one's gonna happen. Here's how we expect Northwestern's coaching search to shape up.",24,25,54,162K,[],[],[],https://pbs.twimg.com/profile_images/1037818091172855808/E4u1MfpZ_x96.jpg,https://twitter.com/BruceFeldmanCFB/status/1678753044962344960,tweet_id:1678753044962344960
Paul,@Crimson_Peej,2023-07-10T23:22:42.000Z,False,I believe the no one in the country is better equipped to lead the Northwestern Wildcat football program than Brian Ferentz.,0,1,4,3K,[],[],[],https://pbs.twimg.com/profile_images/795526372907069440/BWwqdaHm_x96.jpg,https://twitter.com/Crimson_Peej/status/1678545308354052098,tweet_id:1678545308354052098
OutKick,@Outkick,2023-07-10T19:03:58.000Z,True,Pat Fitzgerald is in HOT water at Northwestern. Discussing the latest hazing allegations surrounding Wildcat football NOW,0,0,1,8.5K,[],[],['\\u2b07\\ufe0f'],https://pbs.twimg.com/profile_images/1595496697060331524/V4rKnJvG_x96.jpg,https://twitter.com/Outkick/status/1678480197132120071,tweet_id:1678480197132120071
Tom Mars,@TomMarsLaw,2023-07-10T18:38:15.000Z,False,"Former Northwestern football player alleges that head coach Pat Fitzgerald would ask Black players and coaches to cut off longer hairstyles — including dreadlocks — so that they were more in line with what Fitzgerald called the “Wildcat Way.” Apparently, Fitz didn’t get the memo.",2,2,10,5.3K,[],[],[],https://pbs.twimg.com/profile_images/1712945210500530176/q0RFgJa4_x96.jpg,https://twitter.com/TomMarsLaw/status/1678473726440906761,tweet_id:1678473726440906761
Tom Hunter,@tphunter,2023-07-10T01:24:45.000Z,False,"So, this “culture” existed within the Wildcat football program for the entirety of ACC Commissioner Jim Phillips’ tenure as Northwestern AD. The entirety of the tenure he was Fitzgerald’s boss. 2008-2021. What did Jim Phillips know?",0,0,6,1.4K,[],[],[],https://pbs.twimg.com/profile_images/1497661387195260942/G6BP7pks_x96.jpg,https://twitter.com/tphunter/status/1678213636706258944,tweet_id:1678213636706258944
3x Cup Champs,@BullFan07,2023-07-09T01:10:51.000Z,False,"Money, power, and relationships it seems. Can’t imagine Northwestern football is making bank for the university, esp the last two seasons. But he’s a lifelong wildcat, so I guess that counts for something.",0,0,1,106,[],[],[],https://pbs.twimg.com/profile_images/1349279212037877765/dca8oS5M_x96.jpg,https://twitter.com/BullFan07/status/1677847750627532802,tweet_id:1677847750627532802
Chicago Tribune Sports,@ChicagoSports,2023-07-07T17:30:06.000Z,False,Northwestern suspended football coach Pat Fitzgerald two weeks without pay after an investigation confirmed hazing incidents by Wildcat players.,0,2,1,1.5K,[],[],[],https://pbs.twimg.com/profile_images/1159866085379858432/Eg3rFEas_x96.jpg,https://twitter.com/ChicagoSports/status/1677369413505277968,tweet_id:1677369413505277968
Baltimore Sun Sports,@BaltSunSports,2023-07-07T17:21:31.000Z,True,Northwestern suspended football coach Pat Fitzgerald two weeks without pay Friday after an investigation confirmed hazing incidents by Wildcat players.,0,0,1,855,[],[],[],https://pbs.twimg.com/profile_images/1727158598113902592/AcAs0o4P_x96.jpg,https://twitter.com/BaltSunSports/status/1677367251052158998,tweet_id:1677367251052158998
ESPN Tri-Cities,@ESPN_TriCities,2023-07-07T14:31:53.000Z,False,"Friday on the 'Doug and Daddy Show' our Big Ten football preview with Louie Vaccher  of Wildcat Report to chat Northwestern. Hastings High grad Kaelan Schultz, Nebraska' all-time HR leader, is transferring to Creighton  and she'll tell us why.",0,0,2,355,[],"['@WildcatReport', '@BluejaySoftball']",[],https://pbs.twimg.com/profile_images/1499818440164450309/kGroPulG_x96.jpg,https://twitter.com/ESPN_TriCities/status/1677324562499764227,tweet_id:1677324562499764227
